11500 2
186.4916 202.8420 02
662.4653 146.6756 01
344.4010 441.8398 01
651.6206 120.6959 01
651.3694 336.2649 03
706.0913 300.5649 03
641.7488 101.3964 01
756.1980 173.7449 01
325.2569 329.4544 04
398.7087 241.4878 01
492.8849 112.8605 01
536.6376 552.7025 01
785.9102 206.5111 01
511.4513 152.9035 01
497.3129 376.0002 01
623.1984 341.8788 03
587.6410 126.8310 01
244.5717 376.0405 04
797.5205 254.5680 01
484.7468 337.5088 01
602.7361 518.1279 01
588.6004 76.1936 01
701.2286 97.5265 01
507.1303 518.4663 01
420.8945 422.7121 04
412.0703 194.2809 01
592.0641 501.1136 01
530.5696 461.5146 04
754.1727 132.4781 01
223.9959 373.9321 04
392.5325 362.9336 04
492.7393 543.7978 01
565.8246 438.4520 01
363.9345 340.2212 04
343.5520 385.2960 04
644.2750 514.9844 01
808.4819 276.8541 01
137.6659 349.1539 04
673.4998 242.1666 03
292.4209 311.0935 04
625.4317 86.3330 01
765.4542 200.2229 01
338.4178 517.3925 01
87.1591 348.6161 04
496.8154 459.4843 04
725.9570 112.6925 01
399.8240 225.6105 01
428.2245 308.9562 01
625.9165 472.5526 01
759.1229 143.9303 01
456.5010 150.1222 01
428.1709 490.9942 01
490.1993 340.5024 01
201.4970 146.1229 02
319.4724 503.4243 01
507.0245 575.0900 01
422.4421 560.0613 01
427.0172 509.9895 01
442.4846 238.8154 01
264.8721 313.4384 04
173.7879 197.8437 02
511.7124 467.3493 04
395.1891 259.2403 01
737.6484 128.3571 01
164.7466 427.1983 04
294.2985 346.8122 04
364.3881 414.1417 04
461.3523 231.7209 01
398.1549 262.2077 01
645.6390 479.5904 01
287.1213 120.9449 02
334.3759 348.4078 04
332.1908 527.5551 01
602.9219 456.3333 01
391.2615 516.8893 01
306.8678 133.7545 02
473.1306 518.7202 01
344.4043 429.8863 01
454.4095 286.9998 01
514.8834 161.0423 01
383.5625 530.3005 01
600.1170 296.2841 03
723.4165 200.7869 01
621.5091 342.0136 03
450.6699 228.6964 01
587.6991 125.1047 01
725.4939 142.2322 01
320.7763 195.8627 02
622.3981 141.1885 01
383.1442 404.8178 04
360.5531 371.3317 04
223.7148 411.6009 04
290.0033 318.9095 04
687.8008 129.0741 01
603.8506 133.7951 01
592.5985 487.1050 01
96.7612 321.7891 04
287.8257 123.8151 02
579.3717 124.9869 01
283.0621 195.5093 02
99.0230 378.5295 04
823.1986 267.5735 01
618.6043 240.4069 03
607.6319 226.8781 03
727.3872 177.2322 01
780.6822 229.3269 01
516.0000 364.6070 01
643.8040 529.4821 01
337.3980 431.2144 01
433.3039 281.5169 01
348.5141 328.6786 04
275.6319 344.7422 04
529.1885 93.5544 01
504.7003 146.6191 01
172.2602 395.9026 04
605.9492 482.5194 01
355.3214 371.1824 04
350.1682 340.4259 04
227.7318 417.0147 04
768.3634 267.6674 01
481.5705 572.6540 01
412.4577 225.4286 01
545.7642 529.1451 01
241.1346 133.2011 02
487.7023 510.1669 01
297.4343 304.7576 04
466.1492 360.9135 01
614.2902 554.7832 01
813.0552 280.6715 01
361.4570 483.5596 01
611.7559 352.2910 03
181.9745 404.2917 04
394.1429 544.0082 01
588.1763 106.6340 01
598.4411 137.9517 01
612.5442 250.2914 03
309.3258 356.8081 04
682.0181 282.7258 03
281.1012 347.5872 04
252.1393 104.8513 02
573.5685 481.7219 01
556.8151 120.7149 01
305.6885 178.4623 02
770.5379 269.2129 01
265.2361 396.1440 04
624.4278 238.4169 03
86.3434 336.1139 04
517.5163 133.3738 01
516.7625 544.9668 01
396.8402 359.2718 04
710.1537 302.4326 03
489.5852 311.8567 01
572.3260 130.4928 01
307.5416 507.1083 01
480.9059 443.7584 04
389.9117 493.0253 01
236.0233 367.3524 04
458.9515 561.1130 01
491.6350 197.9762 01
127.5997 400.5276 04
463.5426 282.4325 01
